blog_code,user_id,post_num,key,board_url,title,content,board_category,nickname,date
EG,CV63,4433806,EG_CV63_4433806,http://CV63.egloos.com/4433806,트럼프 - 세계은행에 중공에 대한 대출 중단 요구 ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=023&aid=0003491959 맞는 말이다. 중공 스스로 외환보유고를 자랑해 왔는데 세계 은행이 계속 대출해준다는 것도모양새가 이상한 일 아니었나? 더 재밌는건 그런 중공이 2025년까지 10~15억 달러를 매년 빌려갈계획이 있다는 점이었다.신고,미국,KittyHawk,20191208
EG,CV63,4433784,EG_CV63_4433784,http://CV63.egloos.com/4433784,"한국당, '조국, 백원우 등' 10명 고발 ",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0011258360 저들 중 누가 먼저 불붙기 직전의 화약고에서 도망(배신) 나올지 궁금해진다.P.S. - 우리들병원 건까지 거론되는 판인데 한국당은 망자들의 영정에 바친다는 상징성 차원에서안상영 시장이 당한 내막도 파헤쳐라. 이거 하나만으로도 명분은 차고 넘친다. 그간 노무현이라는범운동권 괴물이 만들어 놓고 간 상징에 얼마나 지긋지긋하게 당했나? 문disaster측이 서로 못마땅하더라도 참아줄 부분은 참는다는 그 바닥 나름의 불문율도 스스로 깨버린 마당에 봐줄 필요가 있던가?신고,정치 전반 2019,KittyHawk,20191205
EG,CV63,4433767,EG_CV63_4433767,http://CV63.egloos.com/4433767,피아식별의 시간 ,"https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=023&aid=0003491118&viewType=pc[中대사관, 정·관·재계 인사들에 급하게 참석 여부 물어 결례 논란 일각에선 ""모욕적인 줄세우기"" ""중국과 협력 최우선으로 해야"" 中매체, 한국 학자 기고문 게재] 김정민 박사 등이 반중친미를 설파하는 와중에 중공 스스로 저렇게 나오는 건의아할 판이다. 원래대로면 그들의 신변을 숨겨줘야 하는 것 아닌가?신고",정치 전반 2019,KittyHawk,20191204
EG,CV63,4433750,EG_CV63_4433750,http://CV63.egloos.com/4433750,북괴발 예고 ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0009588679 하노이 파탄 계기로 남북 둘 다 각자 뭔가를 깨달을 시간이 아예 없던 것도 아니었는데저러는걸 보면 애처롭기 그지 없다. 남북은 이런 나쁜 면에선 기막히리만치 공통점이있는 듯 하다.신고,북괴,KittyHawk,20191203
EG,CV63,4433733,EG_CV63_4433733,http://CV63.egloos.com/4433733,또 북괴에 구걸인가? ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=023&aid=0003490716 트럼프 행정부가 하노이 뒤엎기로 한국 전체가 깨달을 기회와 시간을 줬건만 아직도그따위 허튼 소리인가?신고,정치 전반 2019,KittyHawk,20191202
EG,CV63,4433732,EG_CV63_4433732,http://CV63.egloos.com/4433732,"김기현 ""지난해 울산시장 선거는 무효"" 소송 제기 ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004529279[김기현 전 울산시장, 2일 국회서 기자회견""경찰·청와대가 조직적으로 불법 선거""공직선거법 위헌심판 청구도 함께 제기] 어쩌면 이렇게라도 명예를 회복할 기회를 얻은김기현은 행운아일지도 모르겠다. 구치소에서 죽은 안상영, 석연치 않은 수사를 당한 후 낙선당해 자살한 조진래 등과 비교하면 말이다.신고",정치 전반 2019,KittyHawk,20191202
EG,CV63,4433718,EG_CV63_4433718,http://CV63.egloos.com/4433718,"홍콩 - 시위대, 경찰 재충돌 ",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=022&aid=0003418579 홍콩인들 스스로도 최근자 선거로 모든 게 끝이 아닌 이상 이번 사태는 어느 정도는예견된 것이었다라고 밖에 할 수 없을 것 같다. 홍콩인들이 끝에 가서 웃기를 빈다.신고,아시아,KittyHawk,20191202
EG,CV63,4433700,EG_CV63_4433700,http://CV63.egloos.com/4433700,"우리들병원, 1400억 외에 추가 대출 있었다 ",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003256200[29일 한국당 심재철 의원이 산은으로부터 받은 ‘2012년 이후 유동화대출 및 대출채권발행 현황자료’에 따르면 우리들병원은 기존에 알려진 2012년 12월 13일 1400억 원 대출 건 외에 산은으로부터 2017년 1월 13일 796억 원을 추가로 대출받았다. 심 의원은 “2017년 1월은 국회에서 박근혜 전 대통령의 탄핵소추안이 통과된 이후로 조기 대선이 확실시되던 시기였다”고 했다. 또 심 의원은 “2012년 대출 당시 우리들병원의 이상호 회장은 개인회생 중이었고 대출 과정에서 보증자격이 있었는지도 의문”이라며 “담보 여력이 넘은 금액을 대출받은 경위와 용처가 의혹의 핵심”이라고 주장했다.] 개인회생 중이던 자가 그만한 거액의 대출을 받았다는 것부터가 놀라울 따름이다.P.S. - 의혹은 제쳐두더라도 금융권에서 대출을 받는다는게 마냥 쉬운 일이 아닌데 단순히 대출을받는걸 넘어 그만한 액수를 빌려왔다는 것 자체는 감탄할만하다.신고,정치 전반 2019,KittyHawk,20191201
EG,CV63,4433693,EG_CV63_4433693,http://CV63.egloos.com/4433693,'여당(민주당) 도왔는데 이용만 당해' , 범 우파자유주의자들은 좌파들을 상대로 싸우는 것 못지 않게 노무현 사망을 이유로 덮어졌던 것들까지어떻게 해야 제대로 파헤칠 수 있을지 궁리해야 할 듯 하다.신고,정치 전반 2019,KittyHawk,20191130
EG,CV63,4433692,EG_CV63_4433692,http://CV63.egloos.com/4433692,"런던브리지 테러범, 복역 후 가석방 중 범행 ","https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011248150[2010년 증권거래소 테러기도 혐의로 체포돼…16년형 받고 복역하던 28세 남성카슈미르에 테러리스트 훈련소 설치 계획도…전자발찌 착용 조건으로 작년 가석방] 해당 범인은 사건 당시 사살되었고 이름은 '우스만 칸'이라고 한다. 이름과 카슈미르에훈련소를 설치할 계획을 갖고 있었다는 언급을 감안하면 바로 그 파키스탄 출신이 아닌가짐작된다.P.S. 세속주의 거부 가능성이 높은 문화권의 난민을 받아주는걸 반대하는 사람들을 극우,인종주의로 몰았던 정우성이 같은 놈들은 뭐라 할지 궁금해진다. 롤링도 허튼 소리를 했다고빈축을 샀다지?신고","반다문화, 반페미니즘",KittyHawk,20191130
